Ref,Val,Package,PosX,PosY,Rot,Side
"D_A1","D","D_SOD-123",41.500000,-33.000000,90.000000,bottom
"D_A2","D","D_SOD-123",60.500000,-33.000000,90.000000,bottom
"D_A3","D","D_SOD-123",79.500000,-33.000000,90.000000,bottom
"D_A4","D","D_SOD-123",98.750000,-41.750000,90.000000,bottom
"D_A5","D","D_SOD-123",101.000000,-41.750000,90.000000,bottom
"D_A6","D","D_SOD-123",120.250000,-42.000000,90.000000,bottom
"D_A7","D","D_SOD-123",118.000000,-42.000000,90.000000,bottom
"D_B1","D","D_SOD-123",72.250000,-61.150000,90.000000,bottom
"D_B2","D","D_SOD-123",70.000000,-61.150000,90.000000,bottom
"D_B3","D","D_SOD-123",87.750000,-61.750000,90.000000,bottom
"D_B4","D","D_SOD-123",108.250000,-61.250000,90.000000,bottom
"D_B5","D","D_SOD-123",127.750000,-61.000000,90.000000,bottom
"D_B6","D","D_SOD-123",130.000000,-61.150000,90.000000,bottom
"D_C1","D","D_SOD-123",49.750000,-74.750000,90.000000,bottom
"D_C2","D","D_SOD-123",74.250000,-80.400000,90.000000,bottom
"D_C3","D","D_SOD-123",94.059300,-80.400000,90.000000,bottom
"D_C4","D","D_SOD-123",113.000000,-80.400000,90.000000,bottom
"D_C5","D","D_SOD-123",132.000000,-80.400000,90.000000,bottom
"D_C6","D","D_SOD-123",134.250000,-80.400000,90.000000,bottom
"D_D1","D","D_SOD-123",64.889000,-90.487400,90.000000,bottom
"D_D3","D","D_SOD-123",84.534300,-99.250000,90.000000,bottom
"D_D4","D","D_SOD-123",103.250000,-96.250000,90.000000,bottom
"D_D5","D","D_SOD-123",122.750000,-99.250000,90.000000,bottom
"D_D6","D","D_SOD-123",140.500000,-98.500000,90.000000,bottom
"D_D7","D","D_SOD-123",143.750000,-99.500000,90.000000,bottom
"D_E1","D","D_SOD-123",44.053100,-109.537400,90.000000,bottom
"D_E2","D","D_SOD-123",67.865600,-109.537400,90.000000,bottom
"D_E3","D","D_SOD-123",91.678000,-109.537400,90.000000,bottom
"D_E5","D","D_SOD-123",96.000000,-109.500000,90.000000,bottom
"D_E7","D","D_SOD-123",93.750000,-109.537400,90.000000,bottom
