Designator,Mid X,Mid Y,Rotation,Layer
_6,128.0,-52.0,0.0,top
_5,39.0,-61.5,0.0,top
_4,41.0,-55.0,0.0,top
_3,51.0,-100.0,0.0,top
_2,54.0,-99.0,0.0,top
,28.0,-40.5,0.0,top
D_A1,42.0,-33.0,90.0,bottom
D_A2,56.0,-44.15,90.0,bottom
D_A3,79.818768,-42.1,90.0,bottom
D_A4,98.868752,-42.1,90.0,bottom
D_A5,101.25,-42.1,90.0,bottom
D_A6,120.299984,-42.1,90.0,bottom
D_A7,117.918736,-42.1,90.0,bottom
D_B1,72.5,-61.5,90.0,bottom
D_B2,70.0,-61.5,90.0,bottom
D_B3,89.0,-61.5,90.0,bottom
D_B4,108.75,-61.75,90.0,bottom
D_B5,127.368752,-61.75,90.0,bottom
D_B6,129.75,-61.75,90.0,bottom
D_C1,52.190704,-80.1,90.0,bottom
D_C2,75.200016,-80.1,90.0,bottom
D_C3,94.25,-80.1,90.0,bottom
D_C4,113.299984,-80.1,90.0,bottom
D_C5,132.349968,-80.1,90.0,bottom
D_C6,134.731216,-80.1,90.0,bottom
D_D1,64.889008,-90.487424,90.0,bottom
D_D3,85.0,-90.0,90.0,bottom
D_D4,104.0,-90.487424,90.0,bottom
D_D5,123.0,-90.487424,90.0,bottom
D_D6,140.5,-98.35,90.0,bottom
D_D7,142.881248,-98.35,90.0,bottom
D_E1,48.25,-109.537408,90.0,bottom
D_E2,71.5,-109.65,90.0,bottom
D_E3,95.25,-109.537408,90.0,bottom
D_E5,127.5,-109.25,90.0,bottom
D_E7,130.0,-109.25,90.0,bottom
SW_A1,33.337472,-33.337472,180.0,top
SW_A2,52.387456,-33.337472,180.0,top
SW_A3,71.43744,-33.337472,180.0,top
SW_A4,90.487424,-33.337472,180.0,top
SW_A5,109.537408,-33.337472,180.0,top
SW_A6,128.587392,-33.337472,180.0,top
SW_A7,147.637376,-33.337472,180.0,top
SW_B1,38.099968,-52.387456,180.0,top
SW_B2,61.912448,-52.387456,180.0,top
SW_B3,80.962432,-52.387456,180.0,top
SW_B4,100.012416,-52.387456,180.0,top
SW_B5,119.0624,-52.387456,180.0,top
SW_B6,138.112384,-52.387456,180.0,top
SW_C1,40.481216,-71.43744,0.0,top
SW_C2,66.674944,-71.43744,180.0,top
SW_C3,85.724928,-71.43744,180.0,top
SW_C4,104.774912,-71.43744,180.0,top
SW_C5,123.824896,-71.43744,180.0,top
SW_C6,142.87488,-71.43744,180.0,top
SW_CB1,35.71872,-71.43744,180.0,top
SW_D1,45.305712,-91.317374,180.0,top
SW_D3,76.199936,-90.487424,180.0,top
SW_D4,95.24992,-90.487424,180.0,top
SW_D5,114.299904,-90.487424,180.0,top
SW_D6,133.349888,-90.487424,180.0,top
SW_D7,152.399872,-90.487424,180.0,top
SW_E1,35.71872,-109.537408,0.0,top
SW_E2,59.5312,-109.537408,0.0,top
SW_E3,83.34368,-109.537408,0.0,top
SW_E5,116.619152,-108.707458,0.0,top
SW_E7,150.018624,-109.537408,0.0,top
SW_EB5,107.15616,-109.537408,0.0,top
SW_EB7,140.493632,-108.667458,180.0,top
U2,38.97,-50.8486,0.0,top
